Directory Name,Category,URL,Status,Date Submitted,Date Verified,Username/Email,Notes
Google Business Profile,Priority 1 - Must Have,https://business.google.com,Completed,2026-01-30,2026-01-30,,"Most important for local SEO, shows in Google Maps"
Yelp,Priority 1 - Must Have,https://biz.yelp.com,Not Started,,,,"Top directory for auto detailing searches"
Apple Maps,Priority 1 - Must Have,https://mapsconnect.apple.com,Not Started,,,,"Essential for iPhone users"
Bing Places,Priority 1 - Must Have,https://www.bingplaces.com,Not Started,,,,"Microsoft/Bing search visibility"
Better Business Bureau,Priority 1 - Must Have,https://www.bbb.org/get-accredited,Not Started,,,,"Builds trust and credibility"
Yellow Pages,Priority 2 - General,https://www.yellowpages.com/free-business-listing,Not Started,,,,
White Pages,Priority 2 - General,https://www.whitepages.com,Not Started,,,,
Foursquare,Priority 2 - General,https://business.foursquare.com,Not Started,,,,"Powers many other apps"
MapQuest,Priority 2 - General,https://www.mapquest.com/add-place,Not Started,,,,
Hotfrog,Priority 2 - General,https://www.hotfrog.com,Not Started,,,,
Facebook Business,Priority 2 - General,https://www.facebook.com/business,Not Started,,,,"Even without posting, claim the page"
Nextdoor,Priority 2 - General,https://business.nextdoor.com,Not Started,,,,"Great for local neighborhood visibility"
Nevada Business Magazine,Priority 3 - Local Reno,https://nevadabusiness.com/nbm-business-directory/,Not Started,,,,
NewToReno.com,Priority 3 - Local Reno,https://www.newtoreno.com/bizlistings.htm,Not Started,,,,
Northern Nevada Directory,Priority 3 - Local Reno,https://cm-reno.com/northern-nevada-business-directory/,Not Started,,,,
MidTown Reno,Priority 3 - Local Reno,https://www.renomidtown.com/directory,Not Started,,,,
Reno Chamber of Commerce,Priority 3 - Local Reno,https://www.thechambernv.org,Not Started,,,,"May require membership"
Sparks Chamber of Commerce,Priority 3 - Local Reno,https://www.sparkschamber.org,Not Started,,,,"May require membership"
National Detail Pros,Priority 4 - Auto Industry,https://nationaldetailpros.com,Not Started,,,,
International Detailing Association,Priority 4 - Auto Industry,https://www.the-ida.com,Not Started,,,,"Industry certification available"
Thumbtack,Priority 4 - Auto Industry,https://www.thumbtack.com/pro,Not Started,,,,"Lead generation platform"
Angi (Angie's List),Priority 4 - Auto Industry,https://www.angi.com/pro,Not Started,,,,"Home services directory"
HomeAdvisor,Priority 4 - Auto Industry,https://www.homeadvisor.com/pro,Not Started,,,,"Lead generation for services"
Manta,Priority 5 - Additional,https://www.manta.com/claim,Not Started,,,,
CitySearch,Priority 5 - Additional,https://www.citysearch.com,Not Started,,,,
MerchantCircle,Priority 5 - Additional,https://www.merchantcircle.com,Not Started,,,,
EZLocal,Priority 5 - Additional,https://www.ezlocal.com,Not Started,,,,
ShowMeLocal,Priority 5 - Additional,https://www.showmelocal.com,Not Started,,,,
Brownbook,Priority 5 - Additional,https://www.brownbook.net,Not Started,,,,
Cylex,Priority 5 - Additional,https://www.cylex.us.com,Not Started,,,,
